Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount,Dominant Event,Cumsum,EXP
61,-0.018518519,0.009259259,0.05555556,19,3769,5428,0.009259259,-7.740740794999997,0.002084690383336696
62,-0.018518519,0.009259259,0.074074075,20,3610,5586,0.009259259,-7.731481535999997,0.0027812453119960834
63,-0.018518519,0.009259259,0.074074075,20,3562,5634,0.009259259,-7.722222276999997,0.0034786309560064788
64,-0.009259259,0.009259259,0.07407408,8,3563,5645,0.009259259,-7.712963017999997,0.004176848306083669
65,-0.009259259,0.009259259,0.06481482,4,3315,5897,0.009259259,-7.703703758999997,0.004875898354125052
66,-0.018518519,0.009259259,0.08333333,9,3244,5963,0.009259259,-7.694444499999997,0.005575782093211079
67,-0.018518519,0.009259259,0.074074075,10,2990,6216,0.009259259,-7.685185240999997,0.006276500517606309
68,-0.018518519,0.009259259,0.06481482,3,2880,6333,0.009259259,-7.675925981999997,0.006978054622761021
69,0.0,0.009259259,0.074074075,0,2633,6583,0.009259259,-7.666666722999997,0.007680445405313041
70,0.0,0.009259259,0.07407408,0,2750,6466,0.009259259,-7.657407463999997,0.008383673863088414
71,-0.009259259,0.009259259,0.12037037,9,2691,6516,0.009259259,-7.6481482049999965,0.0090877409951034
72,-0.018518519,0.009259259,0.0925926,21,2628,6567,0.009259259,-7.638888945999997,0.009792647801565746
73,-0.018518519,0.009259259,0.0925926,17,2576,6623,0.009259259,-7.629629686999997,0.010498395283875805
74,-0.009259259,0.009259259,0.07407408,7,2442,6767,0.009259259,-7.620370427999997,0.011204984444628419
75,-0.009259259,0.009259259,0.092592604,6,2305,6905,0.009259259,-7.611111168999997,0.01191241628761408
76,-0.009259259,0.009259259,0.092592604,8,2134,7074,0.009259259,-7.601851909999997,0.012620691817820329
77,-0.009259259,0.009259259,0.092592604,13,2032,7171,0.009259259,-7.592592650999997,0.013329812041433464
78,-0.009259259,0.018518519,0.101851866,3,1895,7318,0.018518519,-7.574074131999997,0.014750590676439301
79,-0.009259259,0.018518519,0.092592604,2,1652,7562,0.018518519,-7.555555612999997,0.016174760189699655
80,0.0,0.018518519,0.101851866,0,1370,7846,0.018518519,-7.537037093999997,0.017602328673998968
81,0.0,0.018518519,0.11111113,0,1151,8065,0.018518519,-7.518518574999997,0.019033304241436177
82,0.0,0.018518519,0.11111112,0,883,8333,0.018518519,-7.500000055999997,0.020467695023471122
83,0.0,0.027777778,0.12962964,0,745,8471,0.027777778,-7.472222277999997,0.02262570252031859
84,0.0,0.027777778,0.1388889,0,582,8634,0.027777778,-7.444444499999997,0.024791440185031877
85,0.0,0.037037037,0.12962964,0,466,8750,0.037037037,-7.407407462999997,0.027691162957812043
86,0.0,0.0462963,0.15740743,0,321,8895,0.0462963,-7.361111162999997,0.03133531182074917
87,0.0,0.0462963,0.17592594,0,286,8930,0.0462963,-7.314814862999997,0.035001242741742156
88,0.0,0.05555556,0.20370373,0,230,8986,0.05555556,-7.259259302999997,0.039429295535988285
89,0.0,0.06481482,0.21296299,0,232,8984,0.06481482,-7.194444482999997,0.04463553969869383
90,0.0,0.07407408,0.2037037,0,203,9013,0.07407408,-7.120370402999997,0.05063896506211352
91,0.0,0.08333334,0.20370369,0,223,8993,0.08333334,-7.037037062999997,0.05746159726815708
92,0.0,0.092592604,0.22222225,0,287,8929,0.092592604,-6.944444458999997,0.06512863280442183
93,0.0,0.101851866,0.23148149,0,312,8904,0.101851866,-6.842592592999997,0.073668593268792
94,0.0,0.11111113,0.22222222,0,324,8892,0.11111113,-6.731481462999997,0.08311350300056675
95,0.0,0.11111113,0.2685185,0,264,8952,0.11111113,-6.620370332999997,0.09269447154313848
96,0.0,0.12037038,0.24074076,0,316,8900,0.12037038,-6.499999952999997,0.1032296656861702
97,0.0,0.12962964,0.24074073,0,319,8897,0.12962964,-6.370370312999997,0.11475931168293413
98,0.0,0.1388889,0.25,0,354,8862,0.1388889,-6.231481412999997,0.12732787472334217
99,0.0,0.12962964,0.3055555,0,334,8882,0.12962964,-6.101851772999996,0.1392630099719332
100,0.0,0.1388889,0.28703704,0,345,8871,0.1388889,-5.962962872999997,0.1522736002198744
101,0.0,0.1574074,0.26851854,0,348,8868,0.1574074,-5.8055554729999965,0.16730288755340106
102,0.0,0.18518518,0.3148148,0,328,8888,0.18518518,-5.620370292999997,0.18537872979220615
