event_timestamp,axis_y_position_mm
20:31:09.788090,19.821533751215767
20:31:09.788092,19.82154424182237
20:31:09.788094,19.82155473242897
20:31:09.788095,19.821559977732274
20:31:09.788098,19.82157571364218
20:31:09.788101,19.821591449552084
20:31:09.788103,19.82160194015869
20:31:09.788104,19.821607185462
20:31:09.788105,19.82161243076529
20:31:09.788106,19.821617676068595
20:31:09.788114,19.82165963849501
20:31:09.788119,19.82168586501152
20:31:09.788123,19.821706846224725
20:31:09.788124,19.821712091528028
20:31:09.788126,19.82172258213463
20:31:09.788127,19.82172782743793
20:31:09.788129,19.82173831804453
20:31:09.788130,19.82174356334784
20:31:09.788132,19.82175405395444
20:31:09.788136,19.821775035167647
20:31:09.788138,19.821785525774253
20:31:09.788139,19.821790771077552
20:31:09.788141,19.82180126168416
20:31:09.788145,19.82182224289736
20:31:09.788146,19.821827488200665
20:31:09.788148,19.82183797880727
20:31:09.788149,19.82184322411057
20:31:09.788150,19.821848469413872
20:31:09.788152,19.821858960020474
20:31:09.788153,19.821864205323777
20:31:09.788155,19.821874695930383
20:31:09.788157,19.821885186536985
20:31:09.788163,19.821916658356795
20:31:09.788167,19.82193763957
20:31:09.788169,19.821948130176605
20:31:09.788171,19.82195862078321
20:31:09.788174,19.821974356693115
20:31:09.788175,19.82197960199641
20:31:09.788178,19.821995337906323
20:31:09.788179,19.822000583209626
20:31:09.788184,19.822026809726133
20:31:09.788194,19.82207926275915
20:31:09.788199,19.82210548927566
20:31:09.788200,19.82211073457896
20:31:09.788202,19.822121225185565
20:31:09.788203,19.822126470488865
20:31:09.788206,19.82214220639877
20:31:09.788207,19.822147451702072
20:31:09.788212,19.822173678218583
20:31:09.788213,19.82217892352188
20:31:09.788217,19.82219990473509
20:31:09.788219,19.82221039534169
20:31:09.788222,19.8222261312516
20:31:09.788224,19.8222366218582
20:31:09.788225,19.822241867161505
20:31:09.788234,19.82228907489122
20:31:09.788236,19.822299565497826
20:31:09.788238,19.822310056104428
20:31:09.788239,19.82231530140773
20:31:09.788243,19.82233628262093
20:31:09.788246,19.822352018530843
20:31:09.788249,19.822367754440748
20:31:09.788252,19.822383490350653
20:31:09.788253,19.82238873565396
20:31:09.788255,19.82239922626056
20:31:09.788257,19.82240971686716
20:31:09.788258,19.822414962170463
20:31:09.788259,19.822420207473765
20:31:09.788262,19.82243594338367
20:31:09.788264,19.822446433990272
20:31:09.788265,19.82245167929357
20:31:09.788267,19.822462169900177
20:31:09.788268,19.82246741520348
20:31:09.788269,19.822472660506783
20:31:09.788270,19.82247790581009
20:31:09.788273,19.82249364171999
20:31:09.788274,19.82249888702329
20:31:09.788276,19.822509377629896
20:31:09.788281,19.8225356041464
20:31:09.788284,19.822551340056307
20:31:09.788285,19.82255658535961
20:31:09.788286,19.82256183066292
20:31:09.788287,19.822567075966216
20:31:09.788288,19.822572321269515
20:31:09.788290,19.82258281187612
20:31:09.788291,19.82258805717942
20:31:09.788293,19.822598547786026
20:31:09.788296,19.82261428369593
20:31:09.788298,19.822624774302533
20:31:09.788299,19.822630019605835
20:31:09.788300,19.82263526490913
20:31:09.788311,19.82269296324545
20:31:09.788312,19.82269820854876
20:31:09.788313,19.82270345385206
20:31:09.788316,19.822719189761965
20:31:09.788317,19.82272443506527
20:31:09.788321,19.82274541627848
20:31:09.788323,19.82275590688508
20:31:09.788324,19.82276115218838
20:31:09.788325,19.82276639749168
20:31:09.788326,19.822771642794983
20:31:09.788330,19.82279262400819
20:31:09.788331,19.822797869311493
20:31:09.788332,19.8228031146148
20:31:09.788334,19.8228136052214
