Epoch,Batch,Loss
1,0,0.99609375
1,1,0.998046875
1,2,0.9970703125
1,3,0.9970703125
1,4,0.99609375
1,5,0.9970703125
1,6,0.994140625
1,7,0.99609375
1,8,0.99609375
1,9,0.9936224222183228
2,0,0.9970703125
2,1,0.99609375
2,2,0.994140625
2,3,0.99609375
2,4,0.998046875
2,5,0.998046875
2,6,0.9970703125
2,7,0.9931640625
2,8,0.9951171875
2,9,0.9974489808082581
3,0,0.9951171875
3,1,0.998046875
3,2,0.9921875
3,3,0.99609375
3,4,0.998046875
3,5,0.9990234375
3,6,0.9931640625
3,7,0.9951171875
3,8,0.9990234375
3,9,0.9961734414100647
4,0,0.9921875
4,1,0.9970703125
4,2,0.998046875
4,3,0.9951171875
4,4,0.998046875
4,5,0.994140625
4,6,0.9951171875
4,7,0.9990234375
4,8,0.9970703125
4,9,0.9961734414100647
5,0,0.9990234375
5,1,0.994140625
5,2,0.99609375
5,3,0.9931640625
5,4,0.9990234375
5,5,0.99609375
5,6,0.99609375
5,7,0.994140625
5,8,0.998046875
5,9,0.9961734414100647
6,0,0.99609375
6,1,0.9990234375
6,2,0.994140625
6,3,0.99609375
6,4,0.9970703125
6,5,0.9951171875
6,6,0.9931640625
6,7,0.998046875
6,8,0.9951171875
6,9,0.9987244606018066
7,0,0.9970703125
7,1,0.994140625
7,2,0.99609375
7,3,0.99609375
7,4,0.998046875
7,5,0.99609375
7,6,0.994140625
7,7,0.9951171875
7,8,0.998046875
7,9,0.9974489808082581
8,0,0.9931640625
8,1,0.9951171875
8,2,0.998046875
8,3,0.9921875
8,4,0.994140625
8,5,0.99609375
8,6,0.998046875
8,7,0.998046875
8,8,0.998046875
8,9,1.0
9,0,0.9970703125
9,1,0.9970703125
9,2,0.99609375
9,3,0.998046875
9,4,0.998046875
9,5,0.994140625
9,6,0.99609375
9,7,0.994140625
9,8,0.9951171875
9,9,0.9961734414100647
10,0,0.994140625
10,1,0.99609375
10,2,0.998046875
10,3,0.9951171875
10,4,0.99609375
10,5,0.994140625
10,6,0.9951171875
10,7,0.998046875
10,8,0.998046875
10,9,0.9974489808082581
11,0,0.99609375
11,1,0.998046875
11,2,0.9970703125
11,3,0.9970703125
11,4,0.9931640625
11,5,0.99609375
11,6,0.99609375
11,7,0.9990234375
11,8,0.99609375
11,9,0.9923469424247742
12,0,0.9970703125
12,1,0.994140625
12,2,0.998046875
12,3,0.99609375
12,4,0.998046875
12,5,0.99609375
12,6,0.9970703125
12,7,0.994140625
12,8,0.99609375
12,9,0.9948979616165161
13,0,0.9970703125
13,1,0.9970703125
13,2,0.994140625
13,3,0.9990234375
13,4,0.99609375
13,5,0.9970703125
13,6,0.99609375
13,7,0.9931640625
13,8,0.9951171875
13,9,0.9974489808082581
14,0,0.998046875
14,1,0.99609375
14,2,0.99609375
14,3,0.9951171875
14,4,0.9921875
14,5,0.9951171875
14,6,0.998046875
14,7,0.9970703125
14,8,0.9970703125
14,9,0.9974489808082581
15,0,0.998046875
15,1,0.9970703125
15,2,0.9951171875
15,3,0.99609375
15,4,0.9951171875
15,5,0.99609375
15,6,0.9990234375
15,7,0.994140625
15,8,0.994140625
15,9,0.9974489808082581
16,0,0.994140625
16,1,0.9970703125
16,2,0.9970703125
16,3,0.9970703125
16,4,0.990234375
16,5,0.9990234375
16,6,0.99609375
16,7,0.9970703125
16,8,0.9970703125
16,9,0.9974489808082581
17,0,0.9970703125
17,1,0.9931640625
17,2,0.994140625
17,3,0.9990234375
17,4,0.9970703125
17,5,0.9970703125
17,6,0.99609375
17,7,0.9970703125
17,8,0.9951171875
17,9,0.9961734414100647
18,0,0.9990234375
18,1,0.9921875
18,2,0.9951171875
18,3,0.9951171875
18,4,0.9970703125
18,5,0.994140625
18,6,0.998046875
18,7,0.998046875
18,8,0.9970703125
18,9,0.9961734414100647
19,0,0.9931640625
19,1,0.998046875
19,2,0.9970703125
19,3,0.9970703125
19,4,0.9970703125
19,5,0.99609375
19,6,0.9970703125
19,7,0.99609375
19,8,0.99609375
19,9,0.9936224222183228
20,0,0.9951171875
20,1,0.9970703125
20,2,0.9931640625
20,3,0.9970703125
20,4,0.99609375
20,5,0.998046875
20,6,0.99609375
20,7,0.998046875
20,8,0.99609375
20,9,0.9948979616165161
21,0,0.994140625
21,1,0.99609375
21,2,0.9990234375
21,3,0.998046875
21,4,0.9951171875
21,5,0.9931640625
21,6,0.99609375
21,7,0.99609375
21,8,0.9990234375
21,9,0.9948979616165161
22,0,0.9970703125
22,1,0.9951171875
22,2,0.99609375
22,3,0.99609375
22,4,0.9951171875
22,5,0.9970703125
22,6,0.9970703125
22,7,0.9990234375
22,8,0.994140625
22,9,0.9948979616165161
23,0,0.9970703125
23,1,0.9990234375
23,2,0.9970703125
23,3,0.998046875
23,4,0.9970703125
23,5,0.994140625
23,6,0.9912109375
23,7,0.998046875
23,8,0.9921875
23,9,0.9987244606018066
24,0,0.99609375
24,1,0.9951171875
24,2,0.9951171875
24,3,0.9970703125
24,4,0.9951171875
24,5,0.998046875
24,6,0.99609375
24,7,0.9970703125
24,8,0.99609375
24,9,0.9961734414100647
25,0,0.9970703125
25,1,0.9921875
25,2,0.998046875
25,3,0.9970703125
25,4,0.99609375
25,5,0.9931640625
25,6,0.998046875
25,7,0.9970703125
25,8,0.998046875
25,9,0.9948979616165161
26,0,0.9951171875
26,1,0.9970703125
26,2,0.9951171875
26,3,0.9951171875
26,4,0.9951171875
26,5,0.9951171875
26,6,0.998046875
26,7,0.9951171875
26,8,0.9990234375
26,9,0.9974489808082581
27,0,0.9951171875
27,1,0.998046875
27,2,0.9990234375
27,3,0.9951171875
27,4,0.99609375
27,5,0.99609375
27,6,0.99609375
27,7,0.9951171875
27,8,0.9931640625
27,9,0.9987244606018066
28,0,0.9970703125
28,1,0.9892578125
28,2,0.9990234375
28,3,0.9951171875
28,4,0.9951171875
28,5,0.9970703125
28,6,1.0
28,7,0.998046875
28,8,0.99609375
28,9,0.9948979616165161
29,0,0.9970703125
29,1,0.9951171875
29,2,0.9990234375
29,3,0.9931640625
29,4,0.998046875
29,5,0.9951171875
29,6,0.9970703125
29,7,0.9970703125
29,8,0.9931640625
29,9,0.9974489808082581
30,0,0.99609375
30,1,0.9951171875
30,2,0.99609375
30,3,0.99609375
30,4,0.9951171875
30,5,1.0
30,6,0.99609375
30,7,0.99609375
30,8,0.9931640625
30,9,0.9987244606018066
31,0,0.9990234375
31,1,0.9921875
31,2,0.9951171875
31,3,0.99609375
31,4,0.99609375
31,5,0.9970703125
31,6,0.9970703125
31,7,0.998046875
31,8,0.9970703125
31,9,0.9936224222183228
32,0,0.99609375
32,1,0.9951171875
32,2,0.9951171875
32,3,0.9970703125
32,4,0.994140625
32,5,0.998046875
32,6,0.99609375
32,7,0.99609375
32,8,0.99609375
32,9,0.9987244606018066
33,0,0.99609375
33,1,0.9990234375
33,2,0.99609375
33,3,0.998046875
33,4,0.9951171875
33,5,0.9970703125
33,6,0.9931640625
33,7,0.9970703125
33,8,0.99609375
33,9,0.9936224222183228
34,0,0.9970703125
34,1,0.994140625
34,2,0.998046875
34,3,0.9951171875
34,4,0.9990234375
34,5,0.9970703125
34,6,0.994140625
34,7,0.99609375
34,8,0.99609375
34,9,0.9948979616165161
35,0,0.99609375
35,1,0.9951171875
35,2,0.99609375
35,3,0.9990234375
35,4,0.994140625
35,5,0.9970703125
35,6,0.9951171875
35,7,0.9951171875
35,8,0.99609375
35,9,0.9987244606018066
36,0,0.9970703125
36,1,0.9931640625
36,2,0.9990234375
36,3,0.998046875
36,4,0.9951171875
36,5,0.998046875
36,6,0.9951171875
36,7,0.9951171875
36,8,0.9970703125
36,9,0.9936224222183228
37,0,1.0
37,1,0.9990234375
37,2,0.9970703125
37,3,0.9921875
37,4,0.994140625
37,5,0.998046875
37,6,0.9931640625
37,7,0.9970703125
37,8,0.9951171875
37,9,0.9961734414100647
38,0,0.9970703125
38,1,0.99609375
38,2,0.994140625
38,3,0.9931640625
38,4,0.998046875
38,5,0.9970703125
38,6,0.9970703125
38,7,0.9931640625
38,8,0.9990234375
38,9,0.9974489808082581
39,0,0.9970703125
39,1,0.9931640625
39,2,0.998046875
39,3,0.99609375
39,4,0.9951171875
39,5,0.998046875
39,6,0.9951171875
39,7,0.9931640625
39,8,0.9990234375
39,9,0.9974489808082581
40,0,0.998046875
40,1,0.99609375
40,2,0.9951171875
40,3,0.9970703125
40,4,0.9931640625
40,5,0.9951171875
40,6,0.9951171875
40,7,0.9990234375
40,8,0.9951171875
40,9,0.9987244606018066
41,0,0.9951171875
41,1,0.99609375
41,2,0.9951171875
41,3,0.998046875
41,4,1.0
41,5,0.998046875
41,6,0.994140625
41,7,0.994140625
41,8,0.9931640625
41,9,0.9987244606018066
42,0,0.99609375
42,1,0.9970703125
42,2,0.9951171875
42,3,0.9970703125
42,4,0.994140625
42,5,0.9951171875
42,6,0.9951171875
42,7,0.9990234375
42,8,1.0
42,9,0.9923469424247742
43,0,0.9951171875
43,1,0.99609375
43,2,0.9951171875
43,3,0.998046875
43,4,0.9951171875
43,5,0.994140625
43,6,0.998046875
43,7,1.0
43,8,0.994140625
43,9,0.9961734414100647
44,0,0.998046875
44,1,0.9921875
44,2,0.998046875
44,3,0.9970703125
44,4,0.9970703125
44,5,0.9951171875
44,6,0.9931640625
44,7,0.9951171875
44,8,1.0
44,9,0.9961734414100647
45,0,0.99609375
45,1,0.9931640625
45,2,0.9931640625
45,3,0.9970703125
45,4,0.9951171875
45,5,0.998046875
45,6,0.9970703125
45,7,0.9970703125
45,8,0.9970703125
45,9,0.9987244606018066
46,0,0.99609375
46,1,0.99609375
46,2,0.9951171875
46,3,1.0
46,4,0.99609375
46,5,0.99609375
46,6,0.9951171875
46,7,0.99609375
46,8,0.9970703125
46,9,0.9936224222183228
47,0,0.9970703125
47,1,0.99609375
47,2,1.0
47,3,0.99609375
47,4,0.99609375
47,5,0.99609375
47,6,0.9951171875
47,7,0.9931640625
47,8,0.9951171875
47,9,0.9974489808082581
48,0,0.9990234375
48,1,0.9970703125
48,2,0.994140625
48,3,0.99609375
48,4,0.9970703125
48,5,0.9970703125
48,6,0.998046875
48,7,0.994140625
48,8,0.994140625
48,9,0.9948979616165161
49,0,0.9970703125
49,1,0.9970703125
49,2,0.9931640625
49,3,0.9970703125
49,4,0.994140625
49,5,0.9970703125
49,6,0.99609375
49,7,0.99609375
49,8,0.9951171875
49,9,1.0
50,0,0.9970703125
