Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount
145,-1.0,0.0,0.0,72,9144,0
146,-1.0,0.0,0.0,140,9076,0
147,-1.0,0.0,0.0,231,8985,0
148,-1.0,0.0,0.0,291,8925,0
149,-1.0,0.0,0.0,383,8833,0
150,-1.0,0.0,0.0,458,8758,0
151,-1.0,0.0,0.0,519,8697,0
152,-1.0,0.0,0.0,599,8617,0
153,-1.0,0.0,0.0,656,8560,0
154,-1.0,0.0,0.0,723,8493,0
155,-1.0,0.0,0.0,757,8459,0
156,-1.0,0.0,0.0,773,8443,0
157,-1.0,0.0,0.0,857,8359,0
158,-1.0,0.0,0.0,937,8279,0
159,-1.0,0.0,0.0,1036,8180,0
160,-1.0,0.0,0.0,1188,8028,0
161,-1.0,0.0,0.0,1446,7770,0
162,-1.0,0.0,0.0,1947,7269,0
163,-1.0,0.0,0.0,3302,5914,0
164,-1.0,-1.0,0.0,5815,3401,0
165,-1.0,-1.0,0.0,8058,1158,0
166,-1.0,-1.0,0.0,8569,647,0
167,-1.0,-1.0,0.0,8589,627,0
168,-1.0,-1.0,0.0,8539,677,0
169,-1.0,-1.0,0.0,7331,1885,0
170,-1.0,0.0,0.0,4268,4948,0
171,-1.0,0.0,0.0,2102,7114,0
172,-1.0,0.0,0.0,2100,7116,0
173,-1.0,0.0,0.0,2730,6486,0
174,-1.0,0.0,1.0,3375,5781,60
175,-1.0,0.0,1.0,3679,5379,158
176,-1.0,0.0,1.0,3581,5444,191
177,-1.0,0.0,1.0,2978,6020,218
178,-1.0,0.0,1.0,2075,6957,184
179,-1.0,0.0,1.0,1210,7788,218
180,-1.0,0.0,1.0,705,8269,242
181,-1.0,0.0,1.0,513,8422,281
182,-1.0,0.0,1.0,391,8528,297
183,-1.0,0.0,1.0,376,8481,359
184,-1.0,0.0,1.0,348,8482,386
185,-1.0,0.0,1.0,340,8405,471
186,-1.0,0.0,1.0,276,8493,447
187,-1.0,0.0,1.0,243,8539,434
188,-1.0,0.0,1.0,202,8660,354
189,-1.0,0.0,1.0,181,8685,350
190,-1.0,0.0,1.0,161,8743,312
191,-1.0,0.0,1.0,129,8776,311
192,-1.0,0.0,1.0,100,8852,264
193,-1.0,0.0,1.0,88,8855,273
194,-1.0,0.0,1.0,76,8878,262
195,-1.0,0.0,1.0,79,8858,279
196,-1.0,0.0,1.0,56,8937,223
197,-1.0,0.0,1.0,38,9001,177
198,-1.0,0.0,1.0,27,9093,96
199,-1.0,0.0,1.0,12,9159,45
200,-1.0,0.0,1.0,24,9150,42
201,-1.0,0.0,1.0,46,9128,42
202,-1.0,0.0,1.0,81,9102,33
203,-1.0,0.0,0.0,82,9134,0
204,-1.0,0.0,0.0,83,9133,0
205,-1.0,0.0,0.0,74,9142,0
206,-1.0,0.0,0.0,102,9114,0
207,-1.0,0.0,0.0,114,9102,0
208,-1.0,0.0,0.0,199,9017,0
209,-1.0,0.0,0.0,240,8976,0
210,-1.0,0.0,0.0,371,8845,0
211,-1.0,0.0,0.0,533,8683,0
212,-1.0,0.0,0.0,618,8598,0
213,-1.0,0.0,0.0,765,8451,0
214,-1.0,0.0,0.0,1266,7950,0
215,-1.0,0.0,0.0,3122,6094,0
216,-1.0,-1.0,0.0,6049,3167,0
217,-1.0,-1.0,0.0,8152,1064,0
218,-1.0,-1.0,0.0,8656,560,0
219,-1.0,-1.0,0.0,8725,491,0
220,-1.0,-1.0,0.0,8461,755,0
221,-1.0,-1.0,0.0,7635,1581,0
222,-1.0,-1.0,0.0,7945,1271,0
223,-1.0,-1.0,0.0,8790,426,0
224,-1.0,-1.0,0.0,8943,273,0
225,-1.0,-1.0,0.0,8988,228,0
226,-1.0,-1.0,0.0,9021,195,0
227,-1.0,-1.0,0.0,9046,170,0
228,-1.0,-1.0,0.0,9101,115,0
229,-1.0,-1.0,0.0,9141,75,0
230,-1.0,-1.0,0.0,9174,42,0
231,-1.0,-1.0,0.0,9163,53,0
232,-1.0,-1.0,0.0,9165,51,0
233,-1.0,-1.0,0.0,9132,84,0
